<<<<<<< HEAD
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,DIVERSITY,MODEL
0,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.36574085908992465,MTMR
1,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.4328934846038122,VJTNN
2,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.5069009856664853,VJTNN+GAN
3,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.45931865306137665,CORE
4,0.981,0.6798692192425294,0.6733584192140637,0.257833893977599,0.971,0.5897433429649633,HierG2G
5,1.0,0.8084557289006591,0.8017845644803667,0.3362850821035503,0.671,0.45250586152529715,HierG2G+BT
6,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.0,JTVAE
7,0.999,0.7371273787112225,0.730458707467275,0.2614233846935521,0.996,0.5299809196701507,UGMMT
=======
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.44,0.485,0.36574085908992465,0.4
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.283,0.324,0.36574085908992465,0.45
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.181,0.215,0.36574085908992465,0.5
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.094,0.118,0.36574085908992465,0.55
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.052,0.069,0.36574085908992465,0.6
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.021,0.032,0.36574085908992465,0.65
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.008,0.016,0.36574085908992465,0.7
JTVAE,0.935,0.09050891203468735,0.08425641754862877,0.4018034320854125,0.934,0.032,0.1,0.0,0.4
JTVAE,0.935,0.09050891203468735,0.08425641754862877,0.4018034320854125,0.934,0.022,0.065,0.0,0.45
JTVAE,0.935,0.09050891203468735,0.08425641754862877,0.4018034320854125,0.934,0.013,0.047,0.0,0.5
JTVAE,0.935,0.09050891203468735,0.08425641754862877,0.4018034320854125,0.934,0.01,0.027,0.0,0.55
JTVAE,0.935,0.09050891203468735,0.08425641754862877,0.4018034320854125,0.934,0.005,0.013,0.0,0.6
