,THRESHOLD_SIMILARITY,SR_PROP,SR_IMPR,SR_PROP_WO_NOVELTY,SR_IMPR_WO_NOVELTY,MODEL
0,0.4,0.44,0.485,0.445,0.488,MTMR
1,0.45,0.283,0.324,0.284,0.325,MTMR
2,0.5,0.181,0.215,0.181,0.215,MTMR
3,0.55,0.094,0.118,0.094,0.118,MTMR
4,0.6,0.052,0.069,0.052,0.069,MTMR
5,0.65,0.021,0.032,0.021,0.032,MTMR
6,0.7,0.008,0.016,0.008,0.016,MTMR
7,0.4,0.132,0.154,0.748,0.757,VJTNN
8,0.45,0.052,0.065,0.266,0.275,VJTNN
9,0.5,0.02,0.025,0.116,0.12,VJTNN
10,0.55,0.008,0.011,0.034,0.036,VJTNN
11,0.6,0.002,0.004,0.014,0.016,VJTNN
12,0.65,0.002,0.003,0.007,0.008,VJTNN
13,0.7,0.0,0.0,0.001,0.001,VJTNN
14,0.4,0.199,0.23,0.733,0.745,VJTNN+GAN
15,0.45,0.083,0.101,0.277,0.289,VJTNN+GAN
16,0.5,0.033,0.044,0.117,0.125,VJTNN+GAN
17,0.55,0.014,0.019,0.038,0.043,VJTNN+GAN
18,0.6,0.007,0.01,0.016,0.019,VJTNN+GAN
19,0.65,0.002,0.002,0.005,0.005,VJTNN+GAN
20,0.7,0.001,0.001,0.002,0.002,VJTNN+GAN
21,0.4,0.153,0.186,0.759,0.765,CORE
22,0.45,0.051,0.072,0.272,0.286,CORE
23,0.5,0.028,0.039,0.128,0.136,CORE
24,0.55,0.011,0.017,0.037,0.042,CORE
25,0.6,0.005,0.007,0.016,0.018,CORE
26,0.65,0.001,0.003,0.005,0.007,CORE
27,0.7,0.0,0.0,0.001,0.001,CORE
28,0.4,0.126,0.171,0.424,0.442,HierG2G
29,0.45,0.056,0.08,0.165,0.186,HierG2G
30,0.5,0.027,0.037,0.082,0.091,HierG2G
31,0.55,0.012,0.015,0.028,0.031,HierG2G
32,0.6,0.006,0.009,0.017,0.02,HierG2G
33,0.65,0.003,0.004,0.007,0.008,HierG2G
34,0.7,0.001,0.001,0.002,0.002,HierG2G
35,0.4,0.127,0.153,0.803,0.808,HierG2G+BT
36,0.45,0.046,0.054,0.266,0.271,HierG2G+BT
37,0.5,0.023,0.027,0.122,0.124,HierG2G+BT
38,0.55,0.005,0.006,0.032,0.032,HierG2G+BT
39,0.6,0.003,0.004,0.014,0.014,HierG2G+BT
40,0.65,0.001,0.002,0.008,0.008,HierG2G+BT
41,0.7,0.0,0.001,0.001,0.002,HierG2G+BT
42,0.4,0.032,0.1,0.033,0.101,JTVAE
43,0.45,0.022,0.065,0.023,0.066,JTVAE
44,0.5,0.013,0.047,0.013,0.047,JTVAE
45,0.55,0.01,0.027,0.01,0.027,JTVAE
46,0.6,0.005,0.013,0.005,0.013,JTVAE
47,0.65,0.003,0.007,0.003,0.007,JTVAE
48,0.7,0.002,0.004,0.002,0.004,JTVAE
49,0.4,0.179,0.218,0.213,0.249,UGMMT
50,0.45,0.104,0.128,0.111,0.135,UGMMT
51,0.5,0.054,0.072,0.06,0.077,UGMMT
52,0.55,0.025,0.033,0.027,0.034,UGMMT
53,0.6,0.01,0.014,0.012,0.015,UGMMT
54,0.65,0.006,0.009,0.008,0.01,UGMMT
55,0.7,0.003,0.004,0.003,0.004,UGMMT
