<<<<<<< HEAD
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,DIVERSITY,MODEL
0,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.5804827983862233,MTMR
1,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.6743990346132107,VJTNN
2,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.6827888862969845,VJTNN+GAN
3,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.6781211923061018,CORE
4,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.6895435145216051,HierG2G
5,1.0,0.9057811095007813,0.15301321731677356,0.2407177007519723,1.0,0.7727875555731241,HierG2G+BT
6,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.0,JTVAE
7,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.49468799999055996,UGMMT
=======
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.42625,0.6975,0.5804827983862233,0.4
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.335,0.59125,0.5804827983862233,0.45
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.25375,0.49,0.5804827983862233,0.5
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.175,0.365,0.5804827983862233,0.55
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.10125,0.2425,0.5804827983862233,0.6
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.04875,0.13375,0.5804827983862233,0.65
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.01625,0.065,0.5804827983862233,0.7
JTVAE,0.92625,0.7337507302831248,0.03695387849509624,0.4004490025951556,0.925,0.055,0.2525,0.0,0.4
JTVAE,0.92625,0.7337507302831248,0.03695387849509624,0.4004490025951556,0.925,0.04,0.19375,0.0,0.45
JTVAE,0.92625,0.7337507302831248,0.03695387849509624,0.4004490025951556,0.925,0.02375,0.14,0.0,0.5
JTVAE,0.92625,0.7337507302831248,0.03695387849509624,0.4004490025951556,0.925,0.0175,0.08875,0.0,0.55
JTVAE,0.92625,0.7337507302831248,0.03695387849509624,0.4004490025951556,0.925,0.01,0.05875,0.0,0.6
JTVAE,0.92625,0.7337507302831248,0.03695387849509624,0.4004490025951556,0.925,0.00875,0.035,0.0,0.65
JTVAE,0.92625,0.7337507302831248,0.03695387849509624,0.4004490025951556,0.925,0.00375,0.02125,0.0,0.7
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.55875,0.65875,0.6743990346132107,0.4
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.42875,0.52625,0.6743990346132107,0.45
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.30875,0.39125,0.6743990346132107,0.5
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.1925,0.265,0.6743990346132107,0.55
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.0975,0.1475,0.6743990346132107,0.6
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.055,0.08125,0.6743990346132107,0.65
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.02375,0.03875,0.6743990346132107,0.7
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.57375,0.6925,0.6827888862969845,0.4
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.43125,0.55875,0.6827888862969845,0.45
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.31,0.43,0.6827888862969845,0.5
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.1775,0.2775,0.6827888862969845,0.55
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.0875,0.165,0.6827888862969845,0.6
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.04625,0.07875,0.6827888862969845,0.65
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.01375,0.0325,0.6827888862969845,0.7
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.585,0.695,0.6781211923061018,0.4
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.45625,0.55875,0.6781211923061018,0.45
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.325,0.4375,0.6781211923061018,0.5
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.19625,0.3,0.6781211923061018,0.55
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.11125,0.1825,0.6781211923061018,0.6
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.065,0.08875,0.6781211923061018,0.65
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.03125,0.045,0.6781211923061018,0.7
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.4925,0.60375,0.6895435145216051,0.4
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.355,0.4775,0.6895435145216051,0.45
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.225,0.33875,0.6895435145216051,0.5
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.12375,0.20875,0.6895435145216051,0.55
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.065,0.1175,0.6895435145216051,0.6
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.03,0.0575,0.6895435145216051,0.65
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.01375,0.0275,0.6895435145216051,0.7
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.27375,0.4725,0.49468799999055996,0.4
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.18875,0.3525,0.49468799999055996,0.45
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.13,0.26,0.49468799999055996,0.5
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.085,0.1725,0.49468799999055996,0.55
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.06125,0.1125,0.49468799999055996,0.6
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.03,0.06375,0.49468799999055996,0.65
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.01625,0.035,0.49468799999055996,0.7
>>>>>>> 59e80091a08b3f55adc18bc4da94ccce197327b3
