,THRESHOLD_SIMILARITY,SR_PROP,SR_IMPR,SR_PROP_WO_NOVELTY,SR_IMPR_WO_NOVELTY,MODEL
0,0.4,0.42625,0.61375,0.42625,0.61375,MTMR
1,0.45,0.335,0.4925,0.335,0.4925,MTMR
2,0.5,0.25375,0.39375,0.255,0.395,MTMR
3,0.55,0.175,0.28375,0.175,0.28375,MTMR
4,0.6,0.10125,0.18125,0.10125,0.18125,MTMR
5,0.65,0.04875,0.095,0.05,0.095,MTMR
6,0.7,0.01625,0.04375,0.0175,0.045,MTMR
7,0.4,0.55875,0.64125,0.58375,0.65625,VJTNN
8,0.45,0.42875,0.50125,0.44625,0.51375,VJTNN
9,0.5,0.30875,0.3675,0.3225,0.3775,VJTNN
10,0.55,0.1925,0.24125,0.1975,0.24375,VJTNN
11,0.6,0.0975,0.12625,0.10375,0.13125,VJTNN
12,0.65,0.055,0.06875,0.05875,0.0725,VJTNN
13,0.7,0.02375,0.02875,0.025,0.03,VJTNN
14,0.4,0.57375,0.66875,0.595,0.68,VJTNN+GAN
15,0.45,0.43125,0.51375,0.45125,0.52625,VJTNN+GAN
16,0.5,0.31,0.37625,0.32625,0.38875,VJTNN+GAN
17,0.55,0.1775,0.24375,0.18875,0.25375,VJTNN+GAN
18,0.6,0.0875,0.14125,0.09625,0.14875,VJTNN+GAN
19,0.65,0.04625,0.065,0.05125,0.07,VJTNN+GAN
20,0.7,0.01375,0.02375,0.01625,0.02625,VJTNN+GAN
21,0.4,0.585,0.6525,0.59625,0.66,CORE
22,0.45,0.45625,0.525,0.47375,0.5375,CORE
23,0.5,0.325,0.39875,0.34,0.40875,CORE
24,0.55,0.19625,0.2575,0.205,0.26375,CORE
25,0.6,0.11125,0.15,0.1125,0.15,CORE
26,0.65,0.065,0.07625,0.06625,0.0775,CORE
27,0.7,0.03125,0.035,0.0325,0.03625,CORE
28,0.4,0.4925,0.5725,0.4975,0.57375,HierG2G
29,0.45,0.355,0.43125,0.3625,0.43625,HierG2G
30,0.5,0.225,0.2925,0.2325,0.29875,HierG2G
31,0.55,0.12375,0.17125,0.1275,0.175,HierG2G
32,0.6,0.065,0.09125,0.0675,0.09375,HierG2G
33,0.65,0.03,0.04375,0.03375,0.0475,HierG2G
34,0.7,0.01375,0.0225,0.01625,0.025,HierG2G
35,0.4,0.42,0.505,0.55375,0.62125,HierG2G+BT
36,0.45,0.22875,0.28875,0.32375,0.3725,HierG2G+BT
37,0.5,0.12875,0.1725,0.18375,0.2225,HierG2G+BT
38,0.55,0.0675,0.085,0.095,0.11125,HierG2G+BT
39,0.6,0.02875,0.03375,0.0425,0.0475,HierG2G+BT
40,0.65,0.01,0.0125,0.0175,0.02,HierG2G+BT
41,0.7,0.005,0.005,0.0075,0.0075,HierG2G+BT
42,0.4,0.06875,0.15875,0.06875,0.15875,JTVAE
43,0.45,0.05,0.1075,0.05,0.1075,JTVAE
44,0.5,0.03,0.065,0.03,0.065,JTVAE
45,0.55,0.02125,0.0425,0.02125,0.0425,JTVAE
46,0.6,0.0125,0.0225,0.0125,0.0225,JTVAE
47,0.65,0.0075,0.01375,0.0075,0.01375,JTVAE
48,0.7,0.0025,0.00375,0.0025,0.00375,JTVAE
49,0.4,0.27375,0.38375,0.2775,0.3875,UGMMT
50,0.45,0.18875,0.28,0.19125,0.2825,UGMMT
51,0.5,0.13,0.205,0.1325,0.2075,UGMMT
52,0.55,0.085,0.13625,0.0875,0.13875,UGMMT
53,0.6,0.06125,0.09,0.0625,0.09125,UGMMT
54,0.65,0.03,0.0475,0.0325,0.05,UGMMT
55,0.7,0.01625,0.02375,0.0175,0.025,UGMMT
