<<<<<<< HEAD
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,DIVERSITY,MODEL
0,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.49909458734273576,MTMR
1,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.2971278235147563,VJTNN
2,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.40038564016086764,VJTNN+GAN
3,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.34768199776883796,CORE
4,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.3561149903371006,HierG2G
5,0.84875,0.830438831766974,2.9081180071709105,0.3744738229888073,0.84875,0.3612647412133163,HierG2G+BT
=======
,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.78875,0.45375,0.49909458734273576,0.4
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.72375,0.3675,0.49909458734273576,0.45
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.65625,0.2875,0.49909458734273576,0.5
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.57625,0.195,0.49909458734273576,0.55
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.48625,0.11,0.49909458734273576,0.6
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.3525,0.05625,0.49909458734273576,0.65
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.2125,0.0175,0.49909458734273576,0.7
JTVAE,0.12875,0.0940962879582167,0.319093442869752,0.055322985041863115,0.12875,0.06125,0.00125,0.0,0.4
JTVAE,0.12875,0.0940962879582167,0.319093442869752,0.055322985041863115,0.12875,0.05625,0.0,0.0,0.45
JTVAE,0.12875,0.0940962879582167,0.319093442869752,0.055322985041863115,0.12875,0.05,0.0,0.0,0.5
