,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.34,0.511,0.45257224446071415,0.4
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.21,0.357,0.45257224446071415,0.45
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.131,0.248,0.45257224446071415,0.5
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.068,0.153,0.45257224446071415,0.55
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.034,0.099,0.45257224446071415,0.6
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.015,0.057,0.45257224446071415,0.65
MTMR_00,1.0,0.734258757108353,0.7275875926880625,0.30879681900835554,1.0,0.004,0.026,0.45257224446071415,0.7
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.295,0.468,0.4494550436049576,0.4
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.177,0.313,0.4494550436049576,0.45
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.094,0.198,0.4494550436049576,0.5
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.043,0.116,0.4494550436049576,0.55
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.018,0.059,0.4494550436049576,0.6
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.006,0.035,0.4494550436049576,0.65
MTMR_01,0.998,0.7364928161975359,0.7298307262414706,0.29443438557482493,0.998,0.002,0.02,0.4494550436049576,0.7
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.346,0.55,0.4764927820955124,0.4
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.219,0.379,0.4764927820955124,0.45
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.125,0.261,0.4764927820955124,0.5
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.056,0.156,0.4764927820955124,0.55
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.031,0.104,0.4764927820955124,0.6
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.012,0.055,0.4764927820955124,0.65
MTMR_10,1.0,0.7309837967340737,0.7243126323137833,0.3095562555412292,0.999,0.005,0.032,0.4764927820955124,0.7
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.364,0.541,0.44728144931183655,0.4
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.209,0.364,0.44728144931183655,0.45
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.113,0.227,0.44728144931183655,0.5
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.044,0.121,0.44728144931183655,0.55
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.019,0.068,0.44728144931183655,0.6
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.007,0.033,0.44728144931183655,0.65
MTMR_11,1.0,0.774455141171294,0.7677839767510032,0.3128273835272188,0.998,0.003,0.022,0.44728144931183655,0.7
